snapshotHead	snapshotTree	path	scope	manualReview	finalCapability	finalClassification	owner	target	provenance	reason
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/ISSUE_TEMPLATE/bug_report.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/ISSUE_TEMPLATE/bug_report.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/ISSUE_TEMPLATE/bug_report.yml#blob=07438b251c5db61dcffcafdfded639b9cba8198e;sha256=c70eccc9ba2a72a7e014cce66996c4b0b81e8b4649fe84e6453a613c47e8cfe6	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/ISSUE_TEMPLATE/feature_request.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/ISSUE_TEMPLATE/feature_request.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/ISSUE_TEMPLATE/feature_request.yml#blob=53aab5166a56d88f18f1e99c6962b6bf75614f00;sha256=86060925f469291bcbcc287669d5f78a150e5b2c7c1e62b0051bd6103a8180ea	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/VOUCHED.td	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/VOUCHED.td	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/VOUCHED.td#blob=7beb3062d1bee5af861c45e642e28e28d72a6cf8;sha256=5322d9b88ce0115b0c5d371a8f5a31e58029f93bbc0f93f7da5be392a93d695a	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/pull_request_template.md	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/pull_request_template.md	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/pull_request_template.md#blob=cb5f01ecf6c524d3a2c8586d504ad0714bd353b1;sha256=fd5b400dcabadb4f13fba0daf79c441ca2aef8251396f33912417484b945afab	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/workflows/ci.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/workflows/ci.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/workflows/ci.yml#blob=8e6617de884472fb1dd5a09d9a5e45ea98f0e6a6;sha256=bf50639f43553f27452050fa5ca8b99469841887ae104a4677ffc620d8d3fc9f	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/workflows/issue-labels.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/workflows/issue-labels.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/workflows/issue-labels.yml#blob=d6571d65d453025a9b95db41a2b3c3f2bf4bb6a0;sha256=da015735d691b10cdff627d9257aa5e5a677be38aa00dd62593ea61f61c08893	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/workflows/polaris-sdk-release.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/workflows/polaris-sdk-release.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/workflows/polaris-sdk-release.yml#blob=2f1830b6599b650ddc6c0d19a15873fe6095464c;sha256=77abcc0519b9c51754432ddc7a77c0f263bf5d33e85211730384b7e58e5705dd	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/workflows/pr-size.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/workflows/pr-size.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/workflows/pr-size.yml#blob=ced845a28f1acad905866c0cebe92d712224b4b1;sha256=0582004c9668c22cf74833969b969e7e14eaf22715cbab8d4a53b45d33098f44	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/workflows/pr-vouch.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/workflows/pr-vouch.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/workflows/pr-vouch.yml#blob=c4abb08b727b273d0bb81584483bf9b28857ea98;sha256=7de2a8e657c15c1b341f6a7739a2e05c0343b599437e0ce19aa23002eae613f1	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	.github/workflows/release.yml	ci	true	repository-governance	synara-only	synara-host	hxp0618/synara:.github/workflows/release.yml	2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0:.github/workflows/release.yml#blob=3dd4aeeccd99fa28300ed1ae1c4ba05c68dc5da8;sha256=155964c12c59ad59addc426c4d235df351967529ab4ece08149030c0dea460c7	This file governs Synara issues, trust, monorepo CI, Polaris SDK, or product release; cloud-agents requires new least-privilege workflows with pinned actions and OIDC attestation.
